frame,id,x1,y1,x2,y2,cls,conf
1440,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1440,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1440,6,0.0,55.085845947265625,111.88435363769531,141.2650604248047,62,1.0
1440,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1440,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1440,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1440,10,32.21323013305664,119.09445190429688,131.75363159179688,186.1328125,63,1.0
1470,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1470,2,0.4224853515625,262.98614501953125,277.86962890625,639.4373168945312,56,1.0
1470,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1470,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1470,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1470,6,0.0,55.085845947265625,111.88435363769531,141.2650604248047,62,1.0
1470,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1470,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1470,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1470,10,32.21323013305664,119.09445190429688,131.75363159179688,186.1328125,63,1.0
1500,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1500,2,0.4224853515625,262.98614501953125,277.86962890625,639.4373168945312,56,1.0
1500,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1500,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1500,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1500,6,0.05628204345703125,98.08319854736328,65.91655731201172,180.59027099609375,62,1.0
1500,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1500,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1500,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1500,10,32.21323013305664,119.09445190429688,131.75363159179688,186.1328125,63,1.0
1530,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1530,2,0.4224853515625,262.98614501953125,277.86962890625,639.4373168945312,56,1.0
1530,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1530,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1530,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1530,6,0.026798248291015625,118.14485168457031,35.651649475097656,201.8915557861328,62,1.0
1530,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1530,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1530,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1530,10,25.16946792602539,114.9302978515625,150.207763671875,201.90518188476562,62,1.0
1530,11,0.23825836181640625,203.73257446289062,46.807960510253906,272.1824035644531,63,1.0
1560,1,181.03997802734375,160.9072265625,268.2723388671875,248.7574462890625,63,1.0
1560,2,0.4224853515625,262.98614501953125,277.86962890625,639.4373168945312,56,1.0
1560,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1560,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1560,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1560,6,0.152618408203125,119.18165588378906,66.76713562011719,207.2064971923828,62,1.0
1560,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1560,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1560,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1560,10,60.68508529663086,121.85159301757812,186.99099731445312,207.41015625,62,1.0
1560,11,0.0888824462890625,206.92465209960938,72.40205383300781,282.7799987792969,63,1.0
1590,1,91.87625885009766,129.8721923828125,222.19924926757812,220.94720458984375,62,1.0
1590,2,0.4224853515625,262.98614501953125,277.86962890625,639.4373168945312,56,1.0
1590,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1590,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1590,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1590,6,0.158416748046875,129.68179321289062,97.58692932128906,223.93569946289062,62,1.0
1590,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1590,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1590,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1590,10,60.68508529663086,121.85159301757812,186.99099731445312,207.41015625,62,1.0
1590,11,0.049774169921875,220.25,101.44856262207031,303.9207763671875,63,1.0
1620,1,30.93896484375,141.0458984375,173.84637451171875,232.26629638671875,62,1.0
1620,2,0.4224853515625,262.98614501953125,277.86962890625,639.4373168945312,56,1.0
1620,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1620,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
1620,5,423.39453125,93.77825927734375,479.74713134765625,216.54092407226562,62,1.0
1620,6,0.158416748046875,129.68179321289062,97.58692932128906,223.93569946289062,62,1.0
1620,7,305.72564697265625,538.32275390625,479.51727294921875,639.4697265625,56,1.0
1620,8,303.85528564453125,12.336090087890625,416.5137939453125,96.04866027832031,62,1.0
1620,9,141.2091064453125,83.34562683105469,224.9119873046875,152.48910522460938,63,1.0
1620,10,60.68508529663086,121.85159301757812,186.99099731445312,207.41015625,62,1.0
1620,11,74.68409729003906,231.0562286376953,167.58001708984375,307.04510498046875,63,1.0
1620,12,173.03237915039062,143.24334716796875,299.93597412109375,230.8511962890625,62,1.0
1650,1,106.1302261352539,126.46170043945312,241.11337280273438,214.60650634765625,62,1.0
1650,2,0.4224853515625,262.98614501953125,277.86962890625,639.4373168945312,56,1.0
1650,3,238.33346557617188,194.7243194580078,427.4626159667969,476.01922607421875,56,1.0
1650,4,221.109375,74.5665283203125,294.0953369140625,144.78228759765625,63,1.0
